Date,PLN,EUR,CZK,DKK,NOK,RUB,CHF,SEK,HUF,GBP
2011-7,2.7554100000000004,1.4388809523809523,16.865,5.185305263157895,5.4463,27.973285000000004,0.8405449999999999,6.34741052631579,185.19400000000002,1.618819047619048
2011-8,2.8061210526315787,1.4237684210526313,17.09755555555556,5.236731578947368,5.465452631578947,27.905152631578954,0.8209500000000001,6.4178444444444445,188.09947368421047,1.6146789473684209
2011-9,2.875828571428572,1.434518181818182,16.919636363636364,5.193486363636364,5.433622727272728,28.85935909090909,0.7817727272727274,6.391650000000001,189.915,1.636595238095238
2011-10,3.1895750000000005,1.3680050000000001,17.99447368421053,5.44377,5.657369999999999,31.05270999999999,0.8880365000000001,6.686044999999998,209.411,1.5729099999999998
2011-11,3.160844444444445,1.3755736842105262,18.103444444444445,5.413163157894737,5.626026315789474,31.08064736842105,0.8941684210526316,6.620568421052632,215.74823529411765,1.5802421052631581
2011-12,3.267838888888889,1.3562105263157895,18.752166666666668,5.487352631578948,5.740868421052632,30.836877777777772,0.9086526315789473,6.74351052631579,228.02578947368428,1.581947368421053
2012-1,3.4043949999999996,1.3138550000000002,19.45336842105263,5.659269999999999,5.893585,31.5795,0.9336,6.8527000000000005,232.00650000000002,1.5596052631578947
2012-2,3.361211111111111,1.29218947368421,19.730157894736838,5.754894736842106,5.933315789473684,31.15035294117647,0.9364052631578949,6.836522222222222,236.05473684210526,1.5526210526315791
2012-3,3.1534789473684217,1.3235947368421055,18.911684210526314,5.617226315789473,5.696189473684212,29.742463157894736,0.9115526315789474,6.6560894736842116,219.09578947368425,1.5806368421052635
2012-4,3.134515,1.3200571428571433,18.687952380952375,5.633152380952382,5.714157142857142,29.342005263157898,0.9136190476190474,6.7332809523809525,221.38315789473688,1.5817428571428571
2012-5,3.181405555555556,1.3143470588235295,18.882388888888887,5.655035294117647,5.75741875,29.516866666666665,0.914205882352941,6.745094117647059,224.78999999999996,1.601721052631579
2012-6,3.3841449999999993,1.2761,19.9071,5.833155555555554,5.930159999999999,31.124526315789467,0.941155,7.061184210526317,230.85047619047623,1.586325
2012-7,3.4155842105263154,1.2544300000000004,20.42635,5.922642105263158,6.006645,32.76072222222222,0.9568450000000001,7.048288888888889,232.81299999999996,1.558226315789474
